TABLE:  Pier Forces;;;;;;;;;
Story;Pier;Load Case/Combo;Location;P;V2;V3;T;M2;M3
;;;;tonf;tonf;tonf;tonf-m;tonf-m;tonf-m
Story12;7D;SU03;Bottom;-13.54895693;2.907547838;-0.005046719;0.009762053;-0.002064521;0.513695841
Story12;7D;SU04;Top;-11.74019595;3.926634604;-0.003887555;0.00774476;-0.002503692;-4.889835003
Story12;7D;SU04;Bottom;-17.02596012;3.951907533;-0.007291826;0.014143495;-0.002911643;1.304682495
Story12;7D;SU05 Max;Top;-11.55070048;5.714895018;0.008511915;0.012564187;-0.001942738;-4.434829783
Story12;7D;SU05 Max;Bottom;-16.12119442;5.741352773;0.006334609;0.01758693;0.00960088;4.396066061
Story12;7D;SU05 Min;Top;-11.92967804;2.138585431;-0.016285208;0.002925612;-0.003064712;-5.344808382
Story12;7D;SU05 Min;Bottom;-17.93067597;2.162672523;-0.020915855;0.010699019;-0.015419388;-1.786079463
Story12;7D;SU06 Max;Top;-11.37209031;9.225831859;0.001942997;0.01436593;-0.001468993;-4.006522497
Story12;7D;SU06 Max;Bottom;-15.21489527;9.25490485;-0.003089916;0.015743971;0.001001479;9.908680979
Story12;7D;SU06 Min;Top;-12.10828821;-1.37235141;-0.00971629;0.001123868;-0.003538458;-5.773115668
Story12;7D;SU06 Min;Bottom;-18.83697512;-1.350879555;-0.01149133;0.012541977;-0.006819987;-7.298694381
Story12;7D;SU07;Top;-6.445361948;2.166309494;-0.002539411;0.005044817;-0.001543759;-3.000284116
Story12;7D;SU07;Bottom;-10.16165789;2.180913152;-0.003782153;0.007320291;-0.001542658;0.386017809
Story12;7D;SU08 Max;Top;-6.255873172;3.954464287;0.00985915;0.009864104;-0.000982772;-2.545294817
Story12;7D;SU08 Max;Bottom;-9.256917119;3.970253277;0.009843078;0.010764246;0.010967476;3.477090571
Story12;7D;SU08 Min;Top;-6.634850724;0.3781547;-0.014937973;0.000225529;-0.002104746;-3.455273416
Story12;7D;SU08 Min;Bottom;-11.06639867;0.391573027;-0.017407385;0.003876335;-0.014052792;-2.705054953
