TABLE:  Pier Section Properties;;;;;;;;;;;;;;;
Story;Pier;Axis Angle;# Area Objects;# Line Objects;Width Bottom;Thickness Bottom;Width Top;Thickness Top;Material;CG Bottom X;CG Bottom Y;CG Bottom Z;CG Top X;CG Top Y;CG Top Z
;;deg;;;m;m;m;m;;m;m;m;m;m;m
Story9;8A;90;27;0;2.83;0.12;2.83;0.12;H210;15.125;6.79;19.04;15.125;6.79;21.42
Story9;J3;0;33;0;3.625;0.12;3.625;0.12;H210;13.2525;5.375;19.04;13.2525;5.375;21.42
Story9;7C;90;39;0;4.82;0.12;4.82;0.12;H210;10.355;2.965;19.04;10.355;2.965;21.42
Story9;7A;90;42;0;4.82;0.12;4.82;0.12;H210;10.355;10.615;19.04;10.355;10.615;21.42
Story9;I1;0;27;0;3.625;0.12;3.625;0.12;H210;7.4575;8.205;19.04;7.4575;8.205;21.42
Story9;I3;0;27;0;3.625;0.12;3.625;0.12;H210;7.4575;5.375;19.04;7.4575;5.375;21.42
Story9;5A;90;24;0;2.83;0.12;2.83;0.12;H210;5.585;6.79;19.04;5.585;6.79;21.42
Story9;K1;0;42;0;5.585;0.12;5.585;0.12;H210;2.7925;6.79;19.04;2.7925;6.79;21.42
Story9;1A;90;66;0;7.74;0.12;7.74;0.12;H210;0;6.79;19.04;0;6.79;21.42
Story9;K2;0;42;0;5.585;0.12;5.585;0.12;H210;38.6275;6.79;19.04;38.6275;6.79;21.42
Story9;E4;0;9;0;0.945;0.15;0.945;0.15;H210;30.5925;0.555;19.04;30.5925;0.555;21.42
Story9;E3;0;9;0;0.945;0.15;0.945;0.15;H210;9.8825;0.555;19.04;9.8825;0.555;21.42
Story9;E2;0;18;0;1.89;0.15;1.89;0.15;H210;31.065;13.025;19.04;31.065;13.025;21.42
Story9;E1;0;21;0;1.95;0.15;1.95;0.15;H210;10.385;13.025;19.04;10.385;13.025;21.42
Story9;L2;0;42;0;5.525;0.12;5.525;0.12;H210;23.5325;6.79;19.04;23.5325;6.79;21.42
Story9;L1;0;42;0;5.525;0.12;5.525;0.12;H210;17.8875;6.79;19.04;17.8875;6.79;21.42
Story8;1B;90;66;0;7.74;0.12;7.74;0.12;H210;41.42;6.79;16.66;41.42;6.79;19.04
Story8;I2;0;30;0;3.625;0.12;3.625;0.12;H210;33.9625;8.205;16.66;33.9625;8.205;19.04
Story8;5B;90;27;0;2.83;0.12;2.83;0.12;H210;35.835;6.79;16.66;35.835;6.79;19.04
Story8;I4;0;33;0;3.625;0.12;3.625;0.12;H210;33.9625;5.375;16.66;33.9625;5.375;19.04
Story8;7D;90;39;0;4.82;0.12;4.82;0.12;H210;31.065;2.965;16.66;31.065;2.965;19.04
Story8;7B;90;39;0;4.82;0.12;4.82;0.12;H210;31.065;10.615;16.66;31.065;10.615;19.04
Story8;J4;0;27;0;3.625;0.12;3.625;0.12;H210;28.1675;5.375;16.66;28.1675;5.375;19.04
Story8;J2;0;27;0;3.625;0.12;3.625;0.12;H210;28.1675;8.205;16.66;28.1675;8.205;19.04
Story8;8B;90;24;0;2.83;0.12;2.83;0.12;H210;26.295;6.79;16.66;26.295;6.79;19.04
Story8;10;90;66;0;7.74;0.12;7.74;0.12;H210;20.71;6.79;16.66;20.71;6.79;19.04
Story8;J1;0;30;0;3.625;0.12;3.625;0.12;H210;13.2525;8.205;16.66;13.2525;8.205;19.04
Story8;8A;90;27;0;2.83;0.12;2.83;0.12;H210;15.125;6.79;16.66;15.125;6.79;19.04
Story8;J3;0;33;0;3.625;0.12;3.625;0.12;H210;13.2525;5.375;16.66;13.2525;5.375;19.04
Story8;7C;90;39;0;4.82;0.12;4.82;0.12;H210;10.355;2.965;16.66;10.355;2.965;19.04
Story8;7A;90;42;0;4.82;0.12;4.82;0.12;H210;10.355;10.615;16.66;10.355;10.615;19.04
Story8;I1;0;27;0;3.625;0.12;3.625;0.12;H210;7.4575;8.205;16.66;7.4575;8.205;19.04
Story8;I3;0;27;0;3.625;0.12;3.625;0.12;H210;7.4575;5.375;16.66;7.4575;5.375;19.04
Story8;5A;90;24;0;2.83;0.12;2.83;0.12;H210;5.585;6.79;16.66;5.585;6.79;19.04
Story8;K1;0;42;0;5.585;0.12;5.585;0.12;H210;2.7925;6.79;16.66;2.7925;6.79;19.04
Story8;1A;90;66;0;7.74;0.12;7.74;0.12;H210;0;6.79;16.66;0;6.79;19.04
Story8;K2;0;42;0;5.585;0.12;5.585;0.12;H210;38.6275;6.79;16.66;38.6275;6.79;19.04
Story8;E4;0;9;0;0.945;0.15;0.945;0.15;H210;30.5925;0.555;16.66;30.5925;0.555;19.04
