TABLE:  Shear Wall Pier Summary - ACI 318-08;;;;;;;;;;;;;;;;;;;;;;;;;;
Story;Pier Label;Station;Design Type;Edge Rebar;End Rebar;Rebar Spacing;Required Reinf;Current Reinf;Pier Leg;Leg X1;Leg Y1;Leg X2;Leg Y2;Shear Rebar;Compressive Stress Left;Compressive Stress Right;Compressive Stress Limit Left;Compressive Stress Limit Right;C Depth Left;C Limit Left;C Depth Right;C Limit Right;Boundary Zone Left;Boundary Zone Right;Warnings;Errors
;;;;;;m;%;%;;m;m;m;m;m²/m;tonf/m²;tonf/m²;tonf/m²;tonf/m²;m;m;m;m;m;m;;
Story6;5B;Top;Uniform;#2;#2;0.15;0.12;0.38;Top Leg 1;35.835;5.375;35.835;8.205;0.0003;25.31;24.57;56;56;;;;;;;No Message;No Message
Story6;5B;Bottom;Uniform;#2;#2;0.15;0.24;0.38;Bottom Leg 1;35.835;5.375;35.835;8.205;0.0003;42.52;30.95;56;56;0.29747;0.67381;;;0.14873;;No Message;No Message
Story5;5B;Top;Uniform;#2;#2;0.15;0.2;0.38;Top Leg 1;35.835;5.375;35.835;8.205;0.0003;29.5;28.7;56;56;;;;;;;No Message;No Message
Story5;5B;Bottom;Uniform;#2;#2;0.15;0.29;0.38;Bottom Leg 1;35.835;5.375;35.835;8.205;0.0003;49.15;48.38;56;56;0.31842;0.67381;0.31842;0.67381;0.15921;0.15921;No Message;No Message
Story4;5B;Top;Uniform;#2;#2;0.15;0.23;0.38;Top Leg 1;35.835;5.375;35.835;8.205;0.0003;31.37;30.58;70;70;;;;;;;No Message;No Message
Story4;5B;Bottom;Uniform;#2;#2;0.15;0.28;0.38;Bottom Leg 1;35.835;5.375;35.835;8.205;0.0003;36.65;35.93;70;70;;;;;;;No Message;No Message
Story3;5B;Top;Uniform;#2;#2;0.15;0.22;0.38;Top Leg 1;35.835;5.375;35.835;8.205;0.0003;33.49;32.61;70;70;;;;;;;No Message;No Message
Story3;5B;Bottom;Uniform;#2;#2;0.15;0.3;0.38;Bottom Leg 1;35.835;5.375;35.835;8.205;0.0003;56.11;55.39;70;70;0.29606;0.67381;0.29606;0.67381;0.14803;0.14803;No Message;No Message
Story2;5B;Top;Uniform;#2;#2;0.15;0.22;0.38;Top Leg 1;35.835;5.375;35.835;8.205;0.0003;36.84;35.76;70;70;;;;;;;No Message;No Message
Story2;5B;Bottom;Uniform;#2;#2;0.15;0.31;0.38;Bottom Leg 1;35.835;5.375;35.835;8.205;0.0003;61.88;60.67;70;70;0.31411;0.67381;0.31411;0.67381;0.15706;0.15706;No Message;No Message
Story1;5B;Top;Uniform;#2;#2;0.15;0.25;0.38;Top Leg 1;35.835;5.375;35.835;8.205;0.0003;55.82;54.1;70;70;0.32845;0.67381;0.32845;0.67381;0.16422;0.16422;No Message;No Message
Story1;5B;Bottom;Uniform;#2;#2;0.15;0.33;0.38;Bottom Leg 1;35.835;5.375;35.835;8.205;0.0003;68.42;67.17;70;70;0.32625;0.67381;0.32625;0.67381;0.16313;0.16313;No Message;No Message
Story12;I4;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;32.15;5.375;35.775;5.375;0.0003;7.18;7.26;42;42;;;;;;;No Message;No Message
Story12;I4;Bottom;Uniform;#2;#2;0.15;0.12;0.37;Bottom Leg 1;32.15;5.375;35.775;5.375;0.0003;7.72;8.68;42;42;;;;;;;No Message;No Message
